user_pseudo_id,event_timestamp,event_name,source,medium,campaign
5237639.6134403405,1605826693121957,session_start,(data deleted),(data deleted),<Other>
5353175.0035355390,1605817041640133,session_start,(data deleted),(data deleted),(data deleted)
5359869.6539149033,1605773386770128,session_start,(data deleted),(data deleted),(data deleted)
5407612.3141758192,1605772709856120,session_start,(data deleted),(data deleted),(data deleted)
5407612.3141758192,1605792193703601,session_start,(data deleted),(data deleted),(data deleted)
5534844.0753723357,1605815807635305,session_start,(data deleted),(data deleted),(data deleted)
5558273.2492198100,1605777646760488,session_start,(data deleted),(data deleted),(data deleted)
5659597.8160960159,1605751386419605,session_start,(data deleted),(data deleted),(data deleted)
5720483.9264167081,1605803760476380,session_start,(data deleted),(data deleted),(data deleted)
5723712.1590878971,1605808483278622,session_start,(data deleted),(data deleted),(data deleted)
5798191.5752207691,1605748223623305,session_start,(data deleted),(data deleted),(data deleted)
5907754.1307810769,1605811071007280,session_start,(data deleted),(data deleted),(data deleted)
5981919.1101136115,1605776260848369,session_start,(data deleted),(data deleted),(data deleted)
6050781.2179707537,1605822677557690,session_start,(data deleted),(data deleted),(data deleted)
6062178.9773874506,1605809332322737,session_start,(data deleted),(data deleted),(data deleted)
6109091.3276763470,1605807658453917,session_start,(data deleted),(data deleted),(data deleted)
6201643.0319572947,1605811776503813,session_start,(data deleted),(data deleted),(data deleted)
6452031.7513884529,1605813445263382,session_start,(data deleted),(data deleted),(data deleted)
6488770.2262980093,1605806436584153,session_start,(data deleted),(data deleted),(data deleted)
6524333.6161446309,1605810281083697,session_start,<Other>,(data deleted),(data deleted)
6692386.1977813547,1605820018960178,session_start,(data deleted),(data deleted),(data deleted)
6787345.7556032829,1605801189119467,session_start,(data deleted),(data deleted),(data deleted)
6789129.2085299308,1605820134605284,session_start,(data deleted),(data deleted),(data deleted)
6793890.1338506504,1605772622215054,session_start,(data deleted),(data deleted),(data deleted)
6862998.4975562358,1605790776985145,session_start,(data deleted),(data deleted),(data deleted)
6894026.5409210039,1605768713130684,session_start,(data deleted),(data deleted),(data deleted)
6894026.5409210039,1605764373289634,session_start,(data deleted),(data deleted),(data deleted)
7013729.3490992264,1605795939557502,session_start,(data deleted),(data deleted),(data deleted)
7133045.9038227487,1605763770065665,session_start,(data deleted),(data deleted),(data deleted)
7175329.1411985010,1605750951761429,session_start,(data deleted),(data deleted),(data deleted)
7216595.2342894095,1605823520270848,session_start,(data deleted),(data deleted),(data deleted)
7233821.1379272050,1605790119167094,session_start,(data deleted),(data deleted),(data deleted)
7255324.2431042440,1605780504803470,session_start,(data deleted),(data deleted),(data deleted)
7269989.2493768800,1605785477861826,session_start,(data deleted),(data deleted),(data deleted)
